"filename", "language", "CSS", "Markdown", "JSON", "JavaScript", "wxml", "TypeScript", "XML", "comment", "blank", "total"
"d:\linkworld\recorder\recorder-mp\Readme.md", "Markdown", 0, 6, 0, 0, 0, 0, 0, 0, 2, 8
"d:\linkworld\recorder\recorder-mp\app.js", "JavaScript", 0, 0, 0, 14, 0, 0, 0, 2, 2, 18
"d:\linkworld\recorder\recorder-mp\app.json", "JSON", 0, 0, 13, 0, 0, 0, 0, 0, 1, 14
"d:\linkworld\recorder\recorder-mp\app.wxss", "CSS", 9, 0, 0, 0, 0, 0, 0, 1, 1, 11
"d:\linkworld\recorder\recorder-mp\cloud\getOpenid\config.json", "JSON", 0, 0, 6, 0, 0, 0, 0, 0, 0, 6
"d:\linkworld\recorder\recorder-mp\cloud\getOpenid\index.js", "JavaScript", 0, 0, 0, 7, 0, 0, 0, 2, 0, 9
"d:\linkworld\recorder\recorder-mp\cloud\getOpenid\package.json", "JSON", 0, 0, 14, 0, 0, 0, 0, 0, 0, 14
"d:\linkworld\recorder\recorder-mp\miniprogram_npm\vant-weapp\action-sheet\index.d.ts", "TypeScript", 0, 0, 0, 0, 0, 1, 0, 0, 1, 2
"d:\linkworld\recorder\recorder-mp\miniprogram_npm\vant-weapp\action-sheet\index.js", "JavaScript", 0, 0, 0, 43, 0, 0, 0, 0, 1, 44
"d:\linkworld\recorder\recorder-mp\miniprogram_npm\vant-weapp\action-sheet\index.json", "JSON", 0, 0, 8, 0, 0, 0, 0, 0, 1, 9
"d:\linkworld\recorder\recorder-mp\miniprogram_npm\vant-weapp\action-sheet\index.wxml", "wxml", 0, 0, 0, 0, 49, 0, 0, 1, 2, 52
"d:\linkworld\recorder\recorder-mp\miniprogram_npm\vant-weapp\action-sheet\index.wxss", "CSS", 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"d:\linkworld\recorder\recorder-mp\miniprogram_npm\vant-weapp\area\index.d.ts", "TypeScript", 0, 0, 0, 0, 0, 1, 0, 0, 1, 2
"d:\linkworld\recorder\recorder-mp\miniprogram_npm\vant-weapp\area\index.js", "JavaScript", 0, 0, 0, 207, 0, 0, 0, 5, 1, 213
"d:\linkworld\recorder\recorder-mp\miniprogram_npm\vant-weapp\area\index.json", "JSON", 0, 0, 6, 0, 0, 0, 0, 0, 1, 7
"d:\linkworld\recorder\recorder-mp\miniprogram_npm\vant-weapp\area\index.wxml", "wxml", 0, 0, 0, 0, 18, 0, 0, 0, 1, 19
"d:\linkworld\recorder\recorder-mp\miniprogram_npm\vant-weapp\area\index.wxss", "CSS", 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"d:\linkworld\recorder\recorder-mp\miniprogram_npm\vant-weapp\badge-group\index.d.ts", "TypeScript", 0, 0, 0, 0, 0, 1, 0, 0, 1, 2
"d:\linkworld\recorder\recorder-mp\miniprogram_npm\vant-weapp\badge-group\index.js", "JavaScript", 0, 0, 0, 43, 0, 0, 0, 0, 1, 44
"d:\linkworld\recorder\recorder-mp\miniprogram_npm\vant-weapp\badge-group\index.json", "JSON", 0, 0, 3, 0, 0, 0, 0, 0, 1, 4
"d:\linkworld\recorder\recorder-mp\miniprogram_npm\vant-weapp\badge-group\index.wxml", "wxml", 0, 0, 0, 0, 3, 0, 0, 0, 1, 4
"d:\linkworld\recorder\recorder-mp\miniprogram_npm\vant-weapp\badge-group\index.wxss", "CSS", 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"d:\linkworld\recorder\recorder-mp\miniprogram_npm\vant-weapp\badge\index.d.ts", "TypeScript", 0, 0, 0, 0, 0, 1, 0, 0, 1, 2
"d:\linkworld\recorder\recorder-mp\miniprogram_npm\vant-weapp\badge\index.js", "JavaScript", 0, 0, 0, 30, 0, 0, 0, 0, 1, 31
"d:\linkworld\recorder\recorder-mp\miniprogram_npm\vant-weapp\badge\index.json", "JSON", 0, 0, 6, 0, 0, 0, 0, 0, 1, 7
"d:\linkworld\recorder\recorder-mp\miniprogram_npm\vant-weapp\badge\index.wxml", "wxml", 0, 0, 0, 0, 16, 0, 0, 0, 2, 18
"d:\linkworld\recorder\recorder-mp\miniprogram_npm\vant-weapp\badge\index.wxss", "CSS", 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"d:\linkworld\recorder\recorder-mp\miniprogram_npm\vant-weapp\button\index.d.ts", "TypeScript", 0, 0, 0, 0, 0, 1, 0, 0, 1, 2
"d:\linkworld\recorder\recorder-mp\miniprogram_npm\vant-weapp\button\index.js", "JavaScript", 0, 0, 0, 38, 0, 0, 0, 0, 1, 39
"d:\linkworld\recorder\recorder-mp\miniprogram_npm\vant-weapp\button\index.json", "JSON", 0, 0, 7, 0, 0, 0, 0, 0, 1, 8
"d:\linkworld\recorder\recorder-mp\miniprogram_npm\vant-weapp\button\index.wxml", "wxml", 0, 0, 0, 0, 50, 0, 0, 0, 2, 52
"d:\linkworld\recorder\recorder-mp\miniprogram_npm\vant-weapp\button\index.wxss", "CSS", 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"d:\linkworld\recorder\recorder-mp\miniprogram_npm\vant-weapp\card\index.d.ts", "TypeScript", 0, 0, 0, 0, 0, 1, 0, 0, 1, 2
"d:\linkworld\recorder\recorder-mp\miniprogram_npm\vant-weapp\card\index.js", "JavaScript", 0, 0, 0, 38, 0, 0, 0, 0, 1, 39
"d:\linkworld\recorder\recorder-mp\miniprogram_npm\vant-weapp\card\index.json", "JSON", 0, 0, 6, 0, 0, 0, 0, 0, 1, 7
"d:\linkworld\recorder\recorder-mp\miniprogram_npm\vant-weapp\card\index.wxml", "wxml", 0, 0, 0, 0, 39, 0, 0, 0, 7, 46
"d:\linkworld\recorder\recorder-mp\miniprogram_npm\vant-weapp\card\index.wxss", "CSS", 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"d:\linkworld\recorder\recorder-mp\miniprogram_npm\vant-weapp\cell-group\index.d.ts", "TypeScript", 0, 0, 0, 0, 0, 1, 0, 0, 1, 2
"d:\linkworld\recorder\recorder-mp\miniprogram_npm\vant-weapp\cell-group\index.js", "JavaScript", 0, 0, 0, 10, 0, 0, 0, 0, 1, 11
"d:\linkworld\recorder\recorder-mp\miniprogram_npm\vant-weapp\cell-group\index.json", "JSON", 0, 0, 3, 0, 0, 0, 0, 0, 0, 3
"d:\linkworld\recorder\recorder-mp\miniprogram_npm\vant-weapp\cell-group\index.wxml", "wxml", 0, 0, 0, 0, 9, 0, 0, 0, 1, 10
"d:\linkworld\recorder\recorder-mp\miniprogram_npm\vant-weapp\cell-group\index.wxss", "CSS", 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"d:\linkworld\recorder\recorder-mp\miniprogram_npm\vant-weapp\cell\index.d.ts", "TypeScript", 0, 0, 0, 0, 0, 1, 0, 0, 1, 2
"d:\linkworld\recorder\recorder-mp\miniprogram_npm\vant-weapp\cell\index.js", "JavaScript", 0, 0, 0, 37, 0, 0, 0, 0, 1, 38
"d:\linkworld\recorder\recorder-mp\miniprogram_npm\vant-weapp\cell\index.json", "JSON", 0, 0, 6, 0, 0, 0, 0, 0, 0, 6
"d:\linkworld\recorder\recorder-mp\miniprogram_npm\vant-weapp\cell\index.wxml", "wxml", 0, 0, 0, 0, 39, 0, 0, 0, 7, 46
"d:\linkworld\recorder\recorder-mp\miniprogram_npm\vant-weapp\cell\index.wxss", "CSS", 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"d:\linkworld\recorder\recorder-mp\miniprogram_npm\vant-weapp\checkbox-group\index.d.ts", "TypeScript", 0, 0, 0, 0, 0, 1, 0, 0, 1, 2
"d:\linkworld\recorder\recorder-mp\miniprogram_npm\vant-weapp\checkbox-group\index.js", "JavaScript", 0, 0, 0, 39, 0, 0, 0, 0, 1, 40
"d:\linkworld\recorder\recorder-mp\miniprogram_npm\vant-weapp\checkbox-group\index.json", "JSON", 0, 0, 3, 0, 0, 0, 0, 0, 1, 4
"d:\linkworld\recorder\recorder-mp\miniprogram_npm\vant-weapp\checkbox-group\index.wxml", "wxml", 0, 0, 0, 0, 1, 0, 0, 0, 1, 2
"d:\linkworld\recorder\recorder-mp\miniprogram_npm\vant-weapp\checkbox-group\index.wxss", "CSS", 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"d:\linkworld\recorder\recorder-mp\miniprogram_npm\vant-weapp\checkbox\index.d.ts", "TypeScript", 0, 0, 0, 0, 0, 1, 0, 0, 1, 2
"d:\linkworld\recorder\recorder-mp\miniprogram_npm\vant-weapp\checkbox\index.js", "JavaScript", 0, 0, 0, 74, 0, 0, 0, 0, 1, 75
"d:\linkworld\recorder\recorder-mp\miniprogram_npm\vant-weapp\checkbox\index.json", "JSON", 0, 0, 6, 0, 0, 0, 0, 0, 1, 7
"d:\linkworld\recorder\recorder-mp\miniprogram_npm\vant-weapp\checkbox\index.wxml", "wxml", 0, 0, 0, 0, 17, 0, 0, 0, 2, 19
"d:\linkworld\recorder\recorder-mp\miniprogram_npm\vant-weapp\checkbox\index.wxss", "CSS", 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"d:\linkworld\recorder\recorder-mp\miniprogram_npm\vant-weapp\col\index.d.ts", "TypeScript", 0, 0, 0, 0, 0, 1, 0, 0, 1, 2
"d:\linkworld\recorder\recorder-mp\miniprogram_npm\vant-weapp\col\index.js", "JavaScript", 0, 0, 0, 23, 0, 0, 0, 0, 1, 24
"d:\linkworld\recorder\recorder-mp\miniprogram_npm\vant-weapp\col\index.json", "JSON", 0, 0, 3, 0, 0, 0, 0, 0, 1, 4
"d:\linkworld\recorder\recorder-mp\miniprogram_npm\vant-weapp\col\index.wxml", "wxml", 0, 0, 0, 0, 7, 0, 0, 0, 2, 9
"d:\linkworld\recorder\recorder-mp\miniprogram_npm\vant-weapp\col\index.wxss", "CSS", 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"d:\linkworld\recorder\recorder-mp\miniprogram_npm\vant-weapp\collapse-item\index.d.ts", "TypeScript", 0, 0, 0, 0, 0, 1, 0, 0, 1, 2
"d:\linkworld\recorder\recorder-mp\miniprogram_npm\vant-weapp\collapse-item\index.js", "JavaScript", 0, 0, 0, 96, 0, 0, 0, 0, 1, 97
"d:\linkworld\recorder\recorder-mp\miniprogram_npm\vant-weapp\collapse-item\index.json", "JSON", 0, 0, 6, 0, 0, 0, 0, 0, 1, 7
"d:\linkworld\recorder\recorder-mp\miniprogram_npm\vant-weapp\collapse-item\index.wxml", "wxml", 0, 0, 0, 0, 43, 0, 0, 0, 2, 45
"d:\linkworld\recorder\recorder-mp\miniprogram_npm\vant-weapp\collapse-item\index.wxss", "CSS", 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"d:\linkworld\recorder\recorder-mp\miniprogram_npm\vant-weapp\collapse\index.d.ts", "TypeScript", 0, 0, 0, 0, 0, 1, 0, 0, 1, 2
"d:\linkworld\recorder\recorder-mp\miniprogram_npm\vant-weapp\collapse\index.js", "JavaScript", 0, 0, 0, 50, 0, 0, 0, 0, 1, 51
"d:\linkworld\recorder\recorder-mp\miniprogram_npm\vant-weapp\collapse\index.json", "JSON", 0, 0, 3, 0, 0, 0, 0, 0, 1, 4
"d:\linkworld\recorder\recorder-mp\miniprogram_npm\vant-weapp\collapse\index.wxml", "wxml", 0, 0, 0, 0, 3, 0, 0, 0, 1, 4
"d:\linkworld\recorder\recorder-mp\miniprogram_npm\vant-weapp\collapse\index.wxss", "CSS", 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"d:\linkworld\recorder\recorder-mp\miniprogram_npm\vant-weapp\common\color.d.ts", "TypeScript", 0, 0, 0, 0, 0, 4, 0, 0, 1, 5
"d:\linkworld\recorder\recorder-mp\miniprogram_npm\vant-weapp\common\color.js", "JavaScript", 0, 0, 0, 4, 0, 0, 0, 0, 1, 5
"d:\linkworld\recorder\recorder-mp\miniprogram_npm\vant-weapp\common\component.d.ts", "TypeScript", 0, 0, 0, 0, 0, 3, 0, 0, 1, 4
"d:\linkworld\recorder\recorder-mp\miniprogram_npm\vant-weapp\common\component.js", "JavaScript", 0, 0, 0, 44, 0, 0, 0, 4, 1, 49
"d:\linkworld\recorder\recorder-mp\miniprogram_npm\vant-weapp\common\index.wxss", "CSS", 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"d:\linkworld\recorder\recorder-mp\miniprogram_npm\vant-weapp\common\style\clearfix.wxss", "CSS", 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"d:\linkworld\recorder\recorder-mp\miniprogram_npm\vant-weapp\common\style\ellipsis.wxss", "CSS", 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"d:\linkworld\recorder\recorder-mp\miniprogram_npm\vant-weapp\common\style\hairline.wxss", "CSS", 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"d:\linkworld\recorder\recorder-mp\miniprogram_npm\vant-weapp\common\style\mixins\clearfix.wxss", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\linkworld\recorder\recorder-mp\miniprogram_npm\vant-weapp\common\style\mixins\ellipsis.wxss", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\linkworld\recorder\recorder-mp\miniprogram_npm\vant-weapp\common\style\mixins\hairline.wxss", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\linkworld\recorder\recorder-mp\miniprogram_npm\vant-weapp\common\style\var.wxss", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\linkworld\recorder\recorder-mp\miniprogram_npm\vant-weapp\common\utils.d.ts", "TypeScript", 0, 0, 0, 0, 0, 6, 0, 1, 1, 8
"d:\linkworld\recorder\recorder-mp\miniprogram_npm\vant-weapp\common\utils.js", "JavaScript", 0, 0, 0, 25, 0, 0, 0, 0, 1, 26
"d:\linkworld\recorder\recorder-mp\miniprogram_npm\vant-weapp\datetime-picker\index.d.ts", "TypeScript", 0, 0, 0, 0, 0, 1, 0, 0, 1, 2
"d:\linkworld\recorder\recorder-mp\miniprogram_npm\vant-weapp\datetime-picker\index.js", "JavaScript", 0, 0, 0, 284, 0, 0, 0, 3, 1, 288
"d:\linkworld\recorder\recorder-mp\miniprogram_npm\vant-weapp\datetime-picker\index.json", "JSON", 0, 0, 6, 0, 0, 0, 0, 0, 1, 7
"d:\linkworld\recorder\recorder-mp\miniprogram_npm\vant-weapp\datetime-picker\index.wxml", "wxml", 0, 0, 0, 0, 16, 0, 0, 0, 1, 17
"d:\linkworld\recorder\recorder-mp\miniprogram_npm\vant-weapp\datetime-picker\index.wxss", "CSS", 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"d:\linkworld\recorder\recorder-mp\miniprogram_npm\vant-weapp\definitions\index.d.ts", "TypeScript", 0, 0, 0, 0, 0, 31, 0, 1, 1, 33
"d:\linkworld\recorder\recorder-mp\miniprogram_npm\vant-weapp\definitions\index.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\linkworld\recorder\recorder-mp\miniprogram_npm\vant-weapp\definitions\weapp.d.ts", "TypeScript", 0, 0, 0, 0, 0, 59, 0, 52, 1, 112
"d:\linkworld\recorder\recorder-mp\miniprogram_npm\vant-weapp\definitions\weapp.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\linkworld\recorder\recorder-mp\miniprogram_npm\vant-weapp\dialog\dialog.d.ts", "TypeScript", 0, 0, 0, 0, 0, 44, 0, 1, 1, 46
"d:\linkworld\recorder\recorder-mp\miniprogram_npm\vant-weapp\dialog\dialog.js", "JavaScript", 0, 0, 0, 61, 0, 0, 0, 0, 1, 62
"d:\linkworld\recorder\recorder-mp\miniprogram_npm\vant-weapp\dialog\index.d.ts", "TypeScript", 0, 0, 0, 0, 0, 1, 0, 0, 1, 2
"d:\linkworld\recorder\recorder-mp\miniprogram_npm\vant-weapp\dialog\index.js", "JavaScript", 0, 0, 0, 97, 0, 0, 0, 1, 1, 99
"d:\linkworld\recorder\recorder-mp\miniprogram_npm\vant-weapp\dialog\index.json", "JSON", 0, 0, 7, 0, 0, 0, 0, 0, 1, 8
"d:\linkworld\recorder\recorder-mp\miniprogram_npm\vant-weapp\dialog\index.wxml", "wxml", 0, 0, 0, 0, 61, 0, 0, 0, 5, 66
"d:\linkworld\recorder\recorder-mp\miniprogram_npm\vant-weapp\dialog\index.wxss", "CSS", 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"d:\linkworld\recorder\recorder-mp\miniprogram_npm\vant-weapp\field\definitions\index.d.ts", "TypeScript", 0, 0, 0, 0, 0, 31, 0, 1, 1, 33
"d:\linkworld\recorder\recorder-mp\miniprogram_npm\vant-weapp\field\definitions\index.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\linkworld\recorder\recorder-mp\miniprogram_npm\vant-weapp\field\definitions\weapp.d.ts", "TypeScript", 0, 0, 0, 0, 0, 59, 0, 52, 1, 112
"d:\linkworld\recorder\recorder-mp\miniprogram_npm\vant-weapp\field\definitions\weapp.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\linkworld\recorder\recorder-mp\miniprogram_npm\vant-weapp\field\index.d.ts", "TypeScript", 0, 0, 0, 0, 0, 1, 0, 0, 1, 2
"d:\linkworld\recorder\recorder-mp\miniprogram_npm\vant-weapp\field\index.js", "JavaScript", 0, 0, 0, 105, 0, 0, 0, 0, 1, 106
"d:\linkworld\recorder\recorder-mp\miniprogram_npm\vant-weapp\field\index.json", "JSON", 0, 0, 7, 0, 0, 0, 0, 0, 0, 7
"d:\linkworld\recorder\recorder-mp\miniprogram_npm\vant-weapp\field\index.wxml", "wxml", 0, 0, 0, 0, 88, 0, 0, 0, 2, 90
"d:\linkworld\recorder\recorder-mp\miniprogram_npm\vant-weapp\field\index.wxss", "CSS", 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
